Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
281,DECK,Consumer Cyclical,Footwear & Accessories,NYSE,145.35,95,96,96,90
282,ARBKL,n/a,n/a,NASDAQ,145.2,95,94,99,99
283,HIMS,Consumer Defensive,Household & Personal Products,NYSE,144.97,95,75,84,23
284,AMRX,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,144.96,95,97,98,98
285,HOV,Consumer Cyclical,Residential Construction,NYSE,144.95,95,98,92,99
286,HOOD,Technology,Software—Infrastructure,NASDAQ,144.93,95,68,71,80
287,COHR,Technology,Scientific & Technical Instruments,NYSE,144.79,95,88,72,24
288,PLTR,Technology,Software—Infrastructure,NYSE,144.45,95,90,98,97
289,METC,Basic Materials,Coking Coal,NASDAQ,144.32,95,96,99,32
290,SVRA,Healthcare,Biotechnology,NASDAQ,144.25,95,96,95,98
291,CLBT,Technology,Software—Infrastructure,NASDAQ,143.99,95,92,94,94
292,TAYD,Industrials,Specialty Industrial Machinery,NASDAQ,143.95,95,94,92,95
293,GLBS,Industrials,Marine Shipping,NASDAQ,143.93,95,97,99,26
294,ANTE,Communication Services,Telecom Services,NASDAQ,143.59,95,12,6,13
295,GFF,Industrials,Conglomerates,NYSE,143.55,95,93,92,82
296,FFNW,Financial Services,Banks—Regional,NASDAQ,143.53,95,96,40,59
297,APEI,Consumer Defensive,Education & Training Services,NASDAQ,143.51,95,98,92,18
298,PRPL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,143.35,95,13,2,12
299,LLY,Healthcare,Drug Manufacturers—General,NYSE,143.04,95,93,94,96
300,BBIO,Healthcare,Biotechnology,NASDAQ,142.71,95,97,98,99
301,EDU,Consumer Defensive,Education & Training Services,NYSE,142.68,95,94,98,97
302,FGEN,Healthcare,Biotechnology,NASDAQ,142.36,95,94,1,0
303,SOPH,Healthcare,Health Information Services,NASDAQ,142.09,95,78,96,18
304,ELTK,Technology,Electronic Components,NASDAQ,141.56,95,99,99,96
305,ACLX,Healthcare,Biotechnology,NASDAQ,141.26,95,95,98,91
306,MEDP,Healthcare,Diagnostics & Research,NASDAQ,141.17,95,79,87,95
307,RYTM,Healthcare,Biotechnology,NASDAQ,141.14,95,97,97,89
308,SFM,Consumer Defensive,Grocery Stores,NASDAQ,141.06,95,89,91,85
309,FROG,Technology,Software—Application,NASDAQ,140.99,95,89,86,85
310,LNSR,Healthcare,Medical Devices,NASDAQ,140.71,94,92,16,20
311,ONTO,Technology,Semiconductor Equipment & Materials,NYSE,140.62,94,95,94,95
312,FRPT,Consumer Defensive,Packaged Foods,NASDAQ,140.09,94,89,74,91
313,EME,Industrials,Engineering & Construction,NYSE,140.07,94,84,84,95
314,NU,Financial Services,Banks—Diversified,NYSE,139.9,94,91,95,93
315,EVER,Communication Services,Internet Content & Information,NASDAQ,139.77,94,96,89,12
316,THRD,Healthcare,Biotechnology,NASDAQ,139.6,94,94,95,43
317,VTEX,Technology,Software—Application,NYSE,139.54,94,95,96,94
318,NVNO,Healthcare,Medical Devices,NASDAQ,139.52,94,29,26,91
319,PBPB,Consumer Cyclical,Restaurants,NASDAQ,139.36,94,92,87,81
320,SWTX,Healthcare,Biotechnology,NASDAQ,139.32,94,96,73,51
321,CDXS,Healthcare,Biotechnology,NASDAQ,139.27,94,42,30,4
322,SHAK,Consumer Cyclical,Restaurants,NYSE,139.18,94,83,55,77
323,BLDR,Industrials,Building Products & Equipment,NYSE,138.96,94,95,95,97
324,GTHX,Healthcare,Biotechnology,NASDAQ,138.94,94,96,18,4
325,NRIX,Healthcare,Biotechnology,NASDAQ,138.86,94,56,20,23
326,PTGX,Healthcare,Biotechnology,NASDAQ,138.84,94,94,88,92
327,DSP,Technology,Software—Application,NASDAQ,138.84,94,97,94,96
328,RNLX,Healthcare,Health Information Services,NASDAQ,138.72,94,0,0,74
329,CYCCP,Healthcare,Biotechnology,NASDAQ,138.62,94,94,20,96
330,LVTX,Healthcare,Biotechnology,NASDAQ,138.53,94,63,15,13
331,LCUT,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,138.51,94,93,71,33
332,VSTM,Healthcare,Biotechnology,NASDAQ,138.15,94,96,49,90
333,NVMI,Technology,Semiconductor Equipment & Materials,NASDAQ,137.78,94,93,87,82
334,HMST,Financial Services,Banks—Regional,NASDAQ,137.54,94,96,13,20
335,AZEK,Industrials,Building Products & Equipment,NYSE,137.35,94,92,92,95
336,SMLR,Healthcare,Medical Devices,NASDAQ,136.99,94,94,97,51
337,CNM,Industrials,Industrial Distribution,NYSE,136.95,94,93,94,88
338,SAIA,Industrials,Trucking,NASDAQ,136.65,94,94,92,97
339,AXTI,Technology,Semiconductor Equipment & Materials,NASDAQ,136.63,94,28,12,7
340,CRNT,Technology,Communication Equipment,NASDAQ,136.58,94,85,50,39
